,Recipe_name,Protein,Carbs,Fat
88,Vegan Mac and Cheese recipes,166.81 g,444.38 g,25.66 g
89,Vegan Shepherd's Pie,106.76 g,425.81 g,101.91 g
90,Vegan Lemon Vanilla Cupcakes with Lemon Buttercream Frosting,27.77 g,619.26 g,207.28 g
91,Vegan Chocolate Cheesecake,98.03 g,714.56 g,314.5 g
92,Spicy Thai Vegan Burger,80.51 g,190.71 g,52.97 g
93,Vegan Sweet Potato Biscuits,54.63 g,448.19 g,138.11 g
94,Vegan Banana Chocolate Chip Muffins,36.93 g,418.54 g,106.0 g
95,Vegan Thai green curry,43.56 g,247.53 g,57.67 g
96,Vegan Black Bean Burgers,70.79 g,256.3 g,113.3 g
97,Vegan Cream Of Broccoli Soup,75.06 g,161.94 g,111.21 g
98,Vegan Lentil Burgers,84.93 g,331.31 g,43.1 g
99,Vegan Sweet Potato & Pear Soup,11.66 g,164.77 g,28.96 g
100,Classic Vegan Date Bars,70.29 g,1101.77 g,331.04 g
101,Gluten-Free Vegan Creole Jalapeno Hush Puppies,37.11 g,384.44 g,135.66 g
102,Vegan Cream Of Mushroom Soup With Not So Vegan Herb Bread,71.33 g,222.41 g,121.53 g
103,Ian's Vegan Chili,155.27 g,571.66 g,106.53 g
104,EASY VEGAN COCONUT CURRY NOODLE BOWLS,24.54 g,181.37 g,107.56 g
105,"Vegan ""B.L.A.T.""s: Lettuce, Tomato, Avocado, and Crispy Smoked Mushroom Sandwiches Recipe",20.82 g,77.06 g,45.26 g
106,Vegan Chickpea Crab Cakes,81.59 g,304.48 g,221.1 g
107,No-churn Vegan Peanut Butter Chocolate Chip Ice Cream recipes,95.88 g,416.83 g,477.74 g
108,Fully Loaded Vegan Baked Potato Soup Recipe,59.15 g,222.48 g,150.25 g
109,"Vegan Sausage, Kale and Cauliflower Potpie",149.81 g,395.9 g,150.42 g
110,Vegan Misir Wot Pierogi,168.87 g,870.67 g,50.77 g
111,You Won't Believe it's Vegan Pumpkin Pie,36.0 g,304.6 g,92.59 g
112,Vegan Lasagna alla Bolognese Recipe,72.92 g,373.65 g,54.98 g
113,Vegan and Gluten-Free Fruit and Almond Shortbread Bars,31.11 g,463.9 g,275.34 g
114,Vegan Spiced Pumpkin Pie Glo Bites,38.34 g,243.38 g,68.53 g
115,Black-Bottom Peanut Butter Freezer Pie,94.34 g,522.29 g,354.72 g
116,Vegan Shepherd's Pie,98.26 g,498.68 g,200.96 g
117,Vegan Italian Roasted Eggplant Bisque,22.05 g,79.91 g,36.02 g
118,"Bacon Ranch Salad, Now In Vegan Form!",37.9 g,51.12 g,156.63 g
119,Chef Chloe's Best-Ever Vegan Baked Macaroni and Cheese,133.22 g,511.08 g,63.01 g
120,GRAIN FREE + VEGAN LIME PIE BARS,24.81 g,143.11 g,186.7 g
121,Vegan Cream of Mushroom Soup With Crispy Shiitake Chips Recipe,38.03 g,122.84 g,130.18 g
122,Chocolate Chip Cake with Buttercream Icing (Vegan),50.97 g,1002.35 g,676.53 g
123,Mushroom and Pea Tart (vegan friendly),73.9 g,378.91 g,130.61 g
124,Can't-Believe-It's-Vegan Chili,214.61 g,484.66 g,105.34 g
125,This Ain’t Grandma’s Sweet Potato Casserole (Vegan) recipes,26.46 g,323.89 g,132.46 g
126,Tomato and basil bruschetta (for vegans and non vegans alike),25.17 g,97.93 g,57.09 g
127,Heirloom Tomato BLTs recipes,259.09 g,789.39 g,168.65 g
128,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",14.26 g,79.07 g,109.53 g
129,Itty Bitty Herbed Garlic Pumpkin Knots With Vegan Parmesan Cheese,23.25 g,124.6 g,45.81 g
130,Vegan Chocolate-Covered Digestive Biscuits Recipe,37.68 g,313.69 g,226.63 g
131,Vegan Slow-Cooker Sweet Potato Chili,65.82 g,224.74 g,32.78 g
132,Vegan Chickpea Cakes with Mashed Avocado Recipe,74.62 g,351.32 g,160.23 g
133,Classic Vegan Gumbo,122.54 g,442.68 g,229.02 g
134,Vegan Spinach and Artichoke Dip Recipe,66.61 g,157.17 g,89.84 g
135,Vegan Black Bean and Squash Chili Recipe,97.48 g,229.27 g,101.69 g
136,Gluten Free Vegan Fudgy Black Bean Brownies Recipe,40.59 g,314.63 g,95.06 g
137,"Easy Cucumber Noodles with a Vegan Basil Cream, Tomatoes and Pine Nuts recipes",46.69 g,165.17 g,170.8 g
138,Vegan Chocolate Cake and Frosting recipes,76.8 g,1295.31 g,756.82 g
139,Vegan katsu curry,79.46 g,265.89 g,116.58 g
140,"Super Healthy, But Doesn’t Taste It Vegan Banana Bread",38.31 g,441.56 g,109.48 g
141,Mexican Hot Chocolate Cupcakes with Whipped Cream (vegan),38.34 g,330.17 g,174.65 g
142,Vegan Egg Salad Sandwich recipes,74.95 g,102.31 g,85.59 g
143,Vegan Chocolate Tart With Salted Oat Crust,61.46 g,529.8 g,330.19 g
144,Smoky Tomato & Garlic Spelt Risotto with Crumbled Vegan Feta,66.35 g,290.35 g,116.51 g
145,Vegan Chocolate Tart with Salted Oat Crust recipes,61.46 g,529.8 g,330.19 g
146,Wholegrain Pitta with Tomatoes and Pesto,6.98 g,31.38 g,12.07 g
147,The Best Vegan Baked Mac & Cheese Recipe,83.66 g,441.39 g,81.04 g
148,Try This Vegan Recipe For Stuffed Mushroom Burgers recipes,99.49 g,616.7 g,137.2 g
149,Grits Cheesecake,65.26 g,514.5 g,240.49 g
150,"Vegan, Gluten-Free Double Chocolate Muffins",44.62 g,454.71 g,320.21 g
151,Gluten-Free Sweet Potato Cardamom Macadamia Brownies,22.67 g,234.49 g,171.88 g
152,Lime Cheesecake,56.74 g,279.19 g,145.24 g
153,Crowd-Pleasing Vegan Caesar Salad recipes,87.84 g,199.83 g,121.3 g
154,Crowd-Pleasing Vegan Caesar Salad recipes,88.56 g,202.18 g,124.26 g
155,Vegan Frosting,1.45 g,0.1 g,301.59 g
156,Beluga Lentil Caviar on Blini,49.59 g,180.15 g,91.1 g
157,Chocolate-Covered Matzo Bark,30.6 g,270.36 g,103.89 g
158,Vegan pesto,25.51 g,22.8 g,172.61 g
159,Hadley’s Vegan Apple Spice Muffins With Oatmeal Streusel Topping,43.71 g,505.55 g,89.84 g
160,Matcha Green Tea Ice Cream Sandwich with Vegan Ginger Molasses Cookies Recipe,92.89 g,1079.21 g,330.99 g
161,Carrot & caraway crackers,19.35 g,185.39 g,46.89 g
162,Chocolate Walnut Bites Recipe,70.47 g,524.05 g,165.8 g
163,Vegan Queso,43.24 g,61.71 g,62.75 g
164,Vegan Root Beer Coconut Ice Cream,12.15 g,177.57 g,91.47 g
165,Vegan Meringues,29.98 g,240.24 g,11.78 g
166,Vegan Pesto,15.28 g,24.1 g,75.12 g
167,Vegan burritos,135.16 g,595.7 g,98.97 g
168,Vegan Masa,99.13 g,891.96 g,223.08 g
169,Vegan fajitas,42.5 g,182.74 g,52.72 g
170,Vegan nuggets,91.67 g,262.84 g,45.06 g
171,Vegan meatballs,55.2 g,233.31 g,79.82 g
172,Vegan Dumplings,8.71 g,102.45 g,18.76 g
173,Barbecue Pulled Jackfruit Sandwiches,27.91 g,406.7 g,94.66 g
174,Vegan Queso,54.39 g,74.21 g,73.09 g
175,Vegan Lasagna,101.15 g,272.84 g,66.63 g
176,Vegan Sushi,31.81 g,295.6 g,11.96 g
177,Vegan Kimchi,104.24 g,539.25 g,14.78 g
178,Classic Cinnamon Rolls recipes,81.33 g,788.44 g,176.4 g
179,Vegan Meatballs,55.47 g,198.88 g,69.92 g
180,Vegan Gyoza,198.89 g,851.59 g,80.86 g
181,Fancy Green Beans,9.51 g,33.92 g,11.36 g
182,Raw Chocolate Mousse recipes,55.3 g,385.05 g,192.81 g
183,Vegan Gravy,16.42 g,50.17 g,27.99 g
184,Hummus Tartine with Sprouts recipes,8.37 g,34.76 g,18.01 g
185,Vegan Mayonnaise,22.97 g,25.13 g,106.85 g
186,Vegan Eggnog,28.72 g,151.67 g,136.98 g
187,Gluten-Free Sweet Potato Pie,22.83 g,226.55 g,165.84 g
188,Vegan Vichysoisse,34.11 g,254.47 g,41.28 g
189,Vegan Nachos,119.72 g,312.06 g,136.44 g
190,Heirloom Tomato BLT,67.86 g,133.37 g,114.89 g
191,Toasted Coconut and Almond Butter,66.39 g,96.28 g,197.65 g
192,Summer Baked Beans recipes,12.72 g,3204.43 g,53.92 g
193,Vegan Gravy,15.33 g,88.78 g,63.28 g
194,Sweet Potato Turnovers with Sweet Kraut,18.53 g,340.31 g,95.89 g
195,Vegan Chili,77.37 g,290.62 g,53.2 g
